X,Y,Z,focal length,aim x,aim y,aim z
m,m,m,m,m,m,m
-385.02,491.43,5.2,633.8768691946,0,0,115
-353.05,472.58,5.2,600.0268318167,0,0,115
-348.48,440.15,5.2,572.0370380491,0,0,115
-318.22,425.39,5.2,542.4727278859,0,0,115
-315.37,397.17,5.2,518.9010366149,0,0,115
-343.91,405.24,5.2,542.724226196,0,0,115
-339.34,378.39,5.2,519.9871803227,0,0,115
-368.46,383.61,5.2,543.1164181831,0,0,115
-361.04,356.65,5.2,519.2351529895,0,0,115
-350.19,324.33,5.2,489.7744634013,0,0,115
-342.77,297.33,5.2,466.8537691826,0,0,115
-322.79,317.74,5.2,466.0559319438,0,0,115
-311.94,294.81,5.2,443.029953502,0,0,115
-303.38,267.86,5.2,419.3381022516,0,0,115
-297.1,240.9,5.2,397.9412770749,0,0,115
-271.41,239.73,5.2,378.4044146148,0,0,115
-275.97,263.81,5.2,397.2545745489,0,0,115
-248.57,261.11,5.2,376.8574226415,0,0,115
-225.74,257.17,5.2,359.3758429555,0,0,115
-202.9,251.69,5.2,341.4268678648,0,0,115
-184.63,243.73,5.2,324.8824245785,0,0,115
-180.07,266.48,5.2,339.8423683121,0,0,115
-161.8,258.46,5.2,324.0938931853,0,0,115
-157.8,281.37,5.2,340.7725882462,0,0,115
-139.53,271.79,5.2,324.6451370343,0,0,115
-131.54,293.42,5.2,339.7853852066,0,0,115
-116.13,282.74,5.2,324.7831961478,0,0,115
-107.56,302.96,5.2,339.7204073941,0,0,115
-90.44,293.32,5.2,325.9939508641,0,0,115
-81.87,312.3,5.2,341.0132356669,0,0,115
-64.74,297.43,5.2,323.5922009258,0,0,115
-52.76,317.64,5.2,340.1982175144,0,0,115
-39.05,301.53,5.2,323.26658256,0,0,115
-27.07,321.66,5.2,340.9603796631,0,0,115
-13.36,305.58,5.2,324.9825626091,0,0,115
0.34,321.8,5.2,340.0167578223,0,0,115
14.04,339.02,5.2,356.6338766859,0,0,115
27.74,320.28,5.2,339.7128581611,0,0,115
14.04,304.29,5.2,323.7986499354,0,0,115
0.34,285.36,5.2,305.7555971687,0,0,115
-14.51,271.78,5.2,293.4807463872,0,0,115
0.34,258.46,5.2,280.8161804455,0,0,115
12.33,244.94,5.2,268.7074105789,0,0,115
0.34,230.18,5.2,255.0274259761,0,0,115
-13.36,244.88,5.2,268.701961288,0,0,115
-29.92,255.83,5.2,280.0004201783,0,0,115
-41.91,240.87,5.2,268.0127702181,0,0,115
-25.35,228.98,5.2,255.2067845885,0,0,115
-52.76,223.25,5.2,254.3230624619,0,0,115
-69.31,234.14,5.2,267.7339270619,0,0,115
-76.73,216.82,5.2,254.8616199038,0,0,115
-95,224.72,5.2,267.544610112,0,0,115
-101.28,207.29,5.2,255.505034197,0,0,115
-119.55,214.02,5.2,268.6127377843,0,0,115
-114.98,232.76,5.2,281.8752525498,0,0,115
-133.25,238.17,5.2,294.1709560783,0,0,115
-139.53,218.03,5.2,281.1791987328,0,0,115
-143.53,200.57,5.2,269.972638984,0,0,115
-124.12,195.13,5.2,256.0029908028,0,0,115
-125.83,174.82,5.2,241.7669565925,0,0,115
-131.54,158.65,5.2,233.5136700495,0,0,115
-111.56,160.17,5.2,223.9555815335,0,0,115
-92.15,157.39,5.2,212.8832417078,0,0,115
-99.57,141.27,5.2,204.7619051484,0,0,115
-102.99,123.74,5.2,194.8706435049,0,0,115
-85.87,123.79,5.2,186.4233381313,0,0,115
-80.16,139.96,5.2,195.1165477349,0,0,115
-64.74,135.95,5.2,186.3590891263,0,0,115
-68.17,118.44,5.2,175.3032301471,0,0,115
-48.19,114.47,5.2,165.7760447109,0,0,115
-55.61,95.41,5.2,155.7291886577,0,0,115
-58.47,77.94,5.2,146.7972223852,0,0,115
-41.91,74.04,5.2,138.9043185074,0,0,115
-37.91,90.15,5.2,147.0381943578,0,0,115
-22.5,83.3,5.2,139.6466254515,0,0,115
-13.36,96.84,5.2,147.0119559764,0,0,115
-28.21,104.95,5.2,154.4873671211,0,0,115
-16.22,122.48,5.2,165.2890764691,0,0,115
0.34,110.29,5.2,155.6278885676,0,0,115
12.33,96.79,5.2,146.8889818877,0,0,115
20.32,81.94,5.2,138.5030902182,0,0,115
38.02,90.16,5.2,147.0727235078,0,0,115
41.44,74.04,5.2,138.7632343238,0,0,115
59.71,78,5.2,147.3272686912,0,0,115
58,60.72,5.2,138.2279219261,0,0,115
76.27,60.66,5.2,146.8086799205,0,0,115
77.98,78,5.2,155.6307180476,0,0,115
95.68,76.68,5.2,164.5919949451,0,0,115
95.68,54.99,5.2,155.6746687808,0,0,115
89.97,38.98,5.2,147.2076129146,0,0,115
73.41,43.09,5.2,138.9309763876,0,0,115
112.8,48.3,5.2,164.6595578762,0,0,115
117.37,68.62,5.2,174.7582939377,0,0,115
133.93,64.46,5.2,184.7927934201,0,0,115
136.78,80.48,5.2,192.9814467766,0,0,115
121.94,86.2,5.2,185.353294009,0,0,115
121.94,102.11,5.2,193.2662818497,0,0,115
105.38,106.37,5.2,185.6759577867,0,0,115
103.67,123.74,5.2,195.2308799857,0,0,115
99.1,141.22,5.2,204.4992381404,0,0,115
117.37,140.01,5.2,213.1538341199,0,0,115
121.94,123.74,5.2,205.516401292,0,0,115
139.63,117.14,5.2,212.7777161735,0,0,115
141.35,98.21,5.2,204.1594146739,0,0,115
156.76,91.5,5.2,212.1367191224,0,0,115
156.76,74.04,5.2,205.211255052,0,0,115
171.6,61.83,5.2,212.8979776795,0,0,115
176.17,83.25,5.2,223.6570396835,0,0,115
177.88,103.55,5.2,233.2808112554,0,0,115
159.62,114.62,5.2,225.1051505408,0,0,115
156.76,131.8,5.2,232.3811042232,0,0,115
136.78,138.71,5.2,223.6185871076,0,0,115
132.21,158.7,5.2,233.925659345,0,0,115
124.79,174.82,5.2,241.2273129229,0,0,115
111.09,160.13,5.2,223.6931939063,0,0,115
91.68,158.7,5.2,213.6514741349,0,0,115
73.41,156.07,5.2,204.4576068529,0,0,115
79.12,138.67,5.2,193.7663110554,0,0,115
85.4,123.69,5.2,186.1408501646,0,0,115
67.13,119.64,5.2,175.716267033,0,0,115
62.56,135.9,5.2,185.5764090611,0,0,115
55.14,149.06,5.2,193.1717971133,0,0,115
39.73,143.96,5.2,185.3617935282,0,0,115
29.45,157.28,5.2,194.0627241384,0,0,115
44.3,166.91,5.2,204.6398741692,0,0,115
61.42,170.86,5.2,212.1829305104,0,0,115
50.58,188.45,5.2,223.8923377429,0,0,115
69.99,193.75,5.2,233.43886266,0,0,115
81.97,176.18,5.2,223.1916515016,0,0,115
101.96,177.58,5.2,232.3500333549,0,0,115
123.08,195.08,5.2,255.4621944633,0,0,115
118.51,213.98,5.2,268.1195638144,0,0,115
113.94,232.83,5.2,281.5105193416,0,0,115
106.52,251.65,5.2,294.5000388795,0,0,115
97.39,269.1,5.2,306.5218786645,0,0,115
76.27,261.1,5.2,293.3366034098,0,0,115
87.11,246.3,5.2,283.3864536283,0,0,115
68.84,235.48,5.2,268.7858180783,0,0,115
76.27,216.82,5.2,254.7235075528,0,0,115
94.53,226.09,5.2,268.5305364386,0,0,115
99.1,207.24,5.2,254.6080666436,0,0,115
138.49,217.93,5.2,280.5868938493,0,0,115
143.06,200.48,5.2,269.6561402972,0,0,115
144.77,180.48,5.2,256.1004164386,0,0,115
164.18,181.68,5.2,268.3630652679,0,0,115
163.04,162.96,5.2,255.331242115,0,0,115
182.45,163.09,5.2,268.2207870393,0,0,115
183.59,181.9,5.2,280.8005308043,0,0,115
182.45,201.71,5.2,293.3103588351,0,0,115
164.18,201.79,5.2,282.3655724411,0,0,115
159.62,220.67,5.2,293.6491670344,0,0,115
133.93,238.2,5.2,294.5038622837,0,0,115
138.49,271.82,5.2,324.2246636208,0,0,115
156.76,281.28,5.2,340.2178360992,0,0,115
153.34,304.25,5.2,357.9626490292,0,0,115
132.21,293.48,5.2,340.0970956947,0,0,115
115.66,282.65,5.2,324.5370519679,0,0,115
108.24,302.9,5.2,339.882843933,0,0,115
89.97,290.84,5.2,323.6333519587,0,0,115
80.83,312.37,5.2,340.8292032676,0,0,115
65.42,297.39,5.2,323.6921817097,0,0,115
53.43,316.24,5.2,338.9963753494,0,0,115
41.44,301.48,5.2,323.5173936591,0,0,115
46.01,267.81,5.2,293.0787542624,0,0,115
30.59,257.25,5.2,281.3704863698,0,0,115
41.44,240.88,5.2,267.9486667256,0,0,115
50.58,224.66,5.2,255.1205440571,0,0,115
26.03,227.51,5.2,253.9574787243,0,0,115
35.16,201.77,5.2,232.3863130651,0,0,115
16.89,193.71,5.2,223.3044473359,0,0,115
30.59,178.97,5.2,212.1839979829,0,0,115
14.04,170.81,5.2,203.5416854111,0,0,115
0.34,181.73,5.2,212.3251009655,0,0,115
-16.22,172.33,5.2,204.9798948678,0,0,115
-31.63,178.92,5.2,212.2942846616,0,0,115
-46.48,165.74,5.2,204.1719324491,0,0,115
-54.47,150.76,5.2,194.2977058537,0,0,115
-39.05,143.96,5.2,185.2172348892,0,0,115
-27.07,157.36,5.2,193.7807898116,0,0,115
-13.36,146.54,5.2,183.5987505404,0,0,115
0.34,135.95,5.2,174.7528486177,0,0,115
11.18,147.96,5.2,184.5892575423,0,0,115
0.34,158.76,5.2,193.0308089399,0,0,115
-16.22,193.71,5.2,223.2547703858,0,0,115
0.34,207.29,5.2,234.5747209313,0,0,115
-36.2,203.05,5.2,233.6574041198,0,0,115
-49.9,188.41,5.2,223.7060081893,0,0,115
-71.02,193.71,5.2,233.7165901257,0,0,115
-83.01,177.58,5.2,224.6805654702,0,0,115
-63.6,169.49,5.2,211.7259079565,0,0,115
-73.88,156.07,5.2,204.6268293748,0,0,115
-104.14,178.92,5.2,234.3363949539,0,0,115
-145.24,179.07,5.2,255.3757280949,0,0,115
-165.22,181.84,5.2,269.1086657839,0,0,115
-163.51,163.06,5.2,255.6953728561,0,0,115
-184.63,161.6,5.2,268.810038689,0,0,115
-180.07,143.84,5.2,255.2864871081,0,0,115
-178.35,125.01,5.2,243.9103577136,0,0,115
-196.62,123.74,5.2,256.957296063,0,0,115
-202.9,141.43,5.2,270.6046838102,0,0,115
-205.76,158.75,5.2,282.1254687192,0,0,115
-224.02,156.07,5.2,294.2768174695,0,0,115
-222.88,135.9,5.2,283.1966532288,0,0,115
-216.6,117.16,5.2,269.6257880842,0,0,115
-236.58,110.22,5.2,283.151169519,0,0,115
-242.29,128.91,5.2,295.5981600078,0,0,115
-248.57,148.06,5.2,309.4589609302,0,0,115
-269.7,143.96,5.2,324.8362843033,0,0,115
-263.42,123.74,5.2,311.0590361973,0,0,115
-255.99,168.28,5.2,325.4306047378,0,0,115
-275.4,169.5,5.2,341.5134697197,0,0,115
-298.24,168.23,5.2,359.5893081002,0,0,115
-306.23,191.08,5.2,377.2855938146,0,0,115
-281.68,192.41,5.2,358.3591362028,0,0,115
-260.56,192.6,5.2,342.1144744088,0,0,115
-241.15,188.43,5.2,325.1387817533,0,0,115
-242.29,212.76,5.2,340.6278052362,0,0,115
